LocationType,Location,Race,TimeFrame,DataFormat,Income
County,Grays Harbor,American Indian and Alaska Native,2009-2013,Currency,"*$37,361"
County,Grays Harbor,American Indian and Alaska Native,2010-2014,Currency,35125
County,Grays Harbor,American Indian and Alaska Native,2011-2015,Currency,31357
County,Grays Harbor,American Indian and Alaska Native,2012-2016,Currency,33750
County,Grays Harbor,American Indian and Alaska Native,2013-2017,Currency,37292
County,Grays Harbor,American Indian and Alaska Native,2014-2018,Currency,38393
County,Grays Harbor,American Indian and Alaska Native,2015-2019,Currency,51346
County,Island,American Indian and Alaska Native,2005-2009,Currency,"*$57,875"
County,Island,American Indian and Alaska Native,2006-2010,Currency,"*$76,688"
County,Island,American Indian and Alaska Native,2007-2011,Currency,"*$79,750"
County,Island,American Indian and Alaska Native,2008-2012,Currency,"*$69,531"
County,Island,American Indian and Alaska Native,2009-2013,Currency,"*$51,250"
County,Island,American Indian and Alaska Native,2010-2014,Currency,51442
County,Island,American Indian and Alaska Native,2011-2015,Currency,57868
County,Island,American Indian and Alaska Native,2012-2016,Currency,72563
County,Island,American Indian and Alaska Native,2013-2017,Currency,50577
County,Island,American Indian and Alaska Native,2014-2018,Currency,NA
County,Island,American Indian and Alaska Native,2015-2019,Currency,46500
County,Jefferson,American Indian and Alaska Native,2005-2009,Currency,"*$50,833"
County,Jefferson,American Indian and Alaska Native,2006-2010,Currency,"*$51,250"
County,Jefferson,American Indian and Alaska Native,2007-2011,Currency,"*$49,583"
County,Jefferson,American Indian and Alaska Native,2008-2012,Currency,51406
County,Jefferson,American Indian and Alaska Native,2009-2013,Currency,"*$51,705"
County,Jefferson,American Indian and Alaska Native,2010-2014,Currency,50313
County,Jefferson,American Indian and Alaska Native,2011-2015,Currency,53790
County,Jefferson,American Indian and Alaska Native,2012-2016,Currency,41000
County,Jefferson,American Indian and Alaska Native,2013-2017,Currency,S
County,Jefferson,American Indian and Alaska Native,2014-2018,Currency,34375
County,Jefferson,American Indian and Alaska Native,2015-2019,Currency,70938
County,King,American Indian and Alaska Native,2005-2009,Currency,"*$44,544"
County,King,American Indian and Alaska Native,2006-2010,Currency,"*$44,954"
County,King,American Indian and Alaska Native,2007-2011,Currency,"*$54,063"
County,King,American Indian and Alaska Native,2008-2012,Currency,"*$51,094"
County,King,American Indian and Alaska Native,2009-2013,Currency,"*$49,224"
County,King,American Indian and Alaska Native,2010-2014,Currency,47254
County,King,American Indian and Alaska Native,2011-2015,Currency,50483
County,King,American Indian and Alaska Native,2012-2016,Currency,47500
County,King,American Indian and Alaska Native,2013-2017,Currency,52090
County,King,American Indian and Alaska Native,2014-2018,Currency,53988
County,King,American Indian and Alaska Native,2015-2019,Currency,56893
County,Kitsap,American Indian and Alaska Native,2005-2009,Currency,"*$39,375"
County,Kitsap,American Indian and Alaska Native,2006-2010,Currency,"*$44,375"
County,Kitsap,American Indian and Alaska Native,2007-2011,Currency,"*$48,050"
County,Kitsap,American Indian and Alaska Native,2008-2012,Currency,53294
County,Kitsap,American Indian and Alaska Native,2009-2013,Currency,"*$53,162"
County,Kitsap,American Indian and Alaska Native,2010-2014,Currency,55554
County,Kitsap,American Indian and Alaska Native,2011-2015,Currency,55345
County,Kitsap,American Indian and Alaska Native,2012-2016,Currency,61667
County,Kitsap,American Indian and Alaska Native,2013-2017,Currency,59293
County,Kitsap,American Indian and Alaska Native,2014-2018,Currency,61976
County,Kitsap,American Indian and Alaska Native,2015-2019,Currency,72000
County,Kittitas,American Indian and Alaska Native,2005-2009,Currency,"*$30,547"
County,Kittitas,American Indian and Alaska Native,2006-2010,Currency,"*$30,069"
County,Kittitas,American Indian and Alaska Native,2007-2011,Currency,"*$71,600"
County,Kittitas,American Indian and Alaska Native,2008-2012,Currency,"*$74,076"
County,Kittitas,American Indian and Alaska Native,2009-2013,Currency,"*$75,083"
